Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Rok;Jednostka miary;Wartosc;Atrybut;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2008";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2009";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2010";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2011";"osoba";6429;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2012";"osoba";6593;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2013";"osoba";7858;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2014";"osoba";7150;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2015";"osoba";6417;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2016";"osoba";4934;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2017";"osoba";4205;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2018";"osoba";3576;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2019";"osoba";2815;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2020";"osoba";2971;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2021";"osoba";3562;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2022";"osoba";3065;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2023";"osoba";2443;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"1995";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"1996";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"1997";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"1998";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"1999";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2000";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2001";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2002";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2003";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2004";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2005";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2006";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2007";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2008";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2009";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2010";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2011";"osoba";3520;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2012";"osoba";3697;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2013";"osoba";4024;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2014";"osoba";3635;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2015";"osoba";3348;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2016";"osoba";2648;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2017";"osoba";2316;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2018";"osoba";1921;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2019";"osoba";1561;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2020";"osoba";1545;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2021";"osoba";1799;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2022";"osoba";1663;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"kobiety";"";"2023";"osoba";1294;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"1995";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"1996";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"1997";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"1998";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"1999";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2000";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2001";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2002";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2003";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2004";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2005";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2006";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2007";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2008";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2009";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2010";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2011";"osoba";2909;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2012";"osoba";2896;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2013";"osoba";3834;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2014";"osoba";3515;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2015";"osoba";3069;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2016";"osoba";2286;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2017";"osoba";1889;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2018";"osoba";1655;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2019";"osoba";1254;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2020";"osoba";1426;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2021";"osoba";1763;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2022";"osoba";1402;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"mężczyźni";"";"2023";"osoba";1149;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"1995";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"1996";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"1997";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"1998";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"1999";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2000";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2001";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2002";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2003";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2004";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2005";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2006";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2007";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2008";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2009";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2010";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2011";"osoba";966;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2012";"osoba";843;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2013";"osoba";1092;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2014";"osoba";849;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2015";"osoba";653;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2016";"osoba";467;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2017";"osoba";375;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2018";"osoba";324;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2019";"osoba";218;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2020";"osoba";248;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2021";"osoba";312;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2022";"osoba";239;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 25 roku życia";"";"2023";"osoba";209;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 30 roku życia";"";"1995";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 30 roku życia";"";"1996";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 30 roku życia";"";"1997";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 30 roku życia";"";"1998";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 30 roku życia";"";"1999";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 30 roku życia";"";"2000";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 30 roku życia";"";"2001";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"do 30 roku życia";"";"2002";"osoba";;;
